src_id,tgt_id,bge_score,predicted_rel
5.3-1,5.2.2-4,0.618,COMPLEMENTARITY
5.2-3,5.1.4-1,0.618,COMPLEMENTARITY
5.11-2,5.5.1-2,0.6179,COMPLEMENTARITY
5.2-2,5.1.3-2,0.6179,COMPLEMENTARITY
5.6-7,5.1.2-4,0.6173,COMPLEMENTARITY
5.2-3,5.1.2-1,0.6172,COMPLEMENTARITY
5.4-4,5.1.2-4,0.6171,COMPLEMENTARITY
5.5-8,5.5.1-2,0.617,COMPLEMENTARITY
5.2-1,5.3.1-3,0.617,COMPLEMENTARITY
5.2-3,5.2.2-4,0.6169,COMPLEMENTARITY
5.3-11,5.2.5-2,0.6169,COMPLEMENTARITY
5.3-5,5.2.1-4.1,0.6169,COMPLEMENTARITY
5.11-2,5.1.2-5,0.6169,COMPLEMENTARITY
5.6-4B,5.2.5-1,0.6169,COMPLEMENTARITY
5.6-7,5.2.5-1,0.6167,COMPLEMENTARITY
5.3-8,5.2.4-3,0.6163,COMPLEMENTARITY
5.3-13,5.4.1-1,0.6162,COMPLEMENTARITY
5.3-10,5.2.1-2,0.6159,COMPLEMENTARITY
5.3-7,5.4.1-1.1,0.6159,COMPLEMENTARITY
5.3-1,5.2.1-3.1,0.6158,COMPLEMENTARITY
5.4-2,5.1.1-2.2,0.6158,COMPLEMENTARITY
5.3-2,5.2.1-3.1,0.6158,COMPLEMENTARITY
5.9-1,5.1.2-2,0.6157,COMPLEMENTARITY
5.5-8,5.1.2-5.1,0.6156,COMPLEMENTARITY
5.1-3,5.2.1-4,0.6156,COMPLEMENTARITY
5.6-9,5.1.4-3,0.6156,COMPLEMENTARITY
5.2-3,5.2.1-3.1,0.6151,COMPLEMENTARITY
5.9-3,5.4.2-3,0.6149,COMPLEMENTARITY
5.9-1,5.2.1-3.1,0.6149,COMPLEMENTARITY
5.5-8,5.1.3-3,0.6149,COMPLEMENTARITY
5.5-8,5.1.2-3,0.6148,COMPLEMENTARITY
5.13-1B,5.1.4-5,0.6147,COMPLEMENTARITY
5.3-12,5.4.2-4,0.6146,COMPLEMENTARITY
5.9-3,5.2.3-1,0.6146,COMPLEMENTARITY
5.12-2,5.1.2-5,0.6145,COMPLEMENTARITY
5.3-14,5.2.4-3,0.6144,COMPLEMENTARITY
5.13-1A,5.2.3-2.1,0.6143,COMPLEMENTARITY
5.0-1,5.5.1-1,0.6143,COMPLEMENTARITY
5.3-11,5.4.2-2,0.6143,COMPLEMENTARITY
5.3-9,5.2.4-1,0.6142,COMPLEMENTARITY
5.3-8,5.4.1-1.1,0.6141,COMPLEMENTARITY
5.12-2,5.1.3-1.2,0.6137,COMPLEMENTARITY
5.13-1A,5.2.1-3.1,0.6137,COMPLEMENTARITY
5.3-5,5.4.2-2,0.6135,COMPLEMENTARITY
5.9-3,5.1.4-1,0.6135,COMPLEMENTARITY
5.7-2,5.4.2-4,0.6135,COMPLEMENTARITY
